relative_path,label,group_id,source_label,source
노크_목재/99B4DA4D5CF6E0CC0F.mp3,노크_목재,targetsrc_5c7de4766ff3,노크_목재,existing_target
노크_목재/99B90E4C5CF6DF0A0F.mp3,노크_목재,targetsrc_706cc505b489,노크_목재,existing_target
노크_목재/99F0A43D5CF6E89127.mp3,노크_목재,targetsrc_0ef4af8e6c3c,노크_목재,existing_target
노크_목재/99F432365CF6DF9D10.mp3,노크_목재,targetsrc_cdaf47da3ec3,노크_목재,existing_target
노크_목재/991AED3A5CF6E6B014.mp3,노크_목재,targetsrc_5c7bdfbe317e,노크_목재,existing_target
노크_목재/995D7E345CF6F8A221.mp3,노크_목재,targetsrc_984a3b5994d9,노크_목재,existing_target
노크_목재/998A57375CF6DD1010.mp3,노크_목재,targetsrc_212e5c369907,노크_목재,existing_target
노크_목재/9928CD4B5CF6E7BB13.mp3,노크_목재,targetsrc_a4ea1b86e3b4,노크_목재,existing_target
노크_목재/9940CB355CF6E60415.mp3,노크_목재,targetsrc_d8436b5d6e33,노크_목재,existing_target
노크_목재/9998D2435CF6E03711.mp3,노크_목재,targetsrc_f2eb0295196c,노크_목재,existing_target
노크_목재/26188__fogma__shop-door-knocks-original.wav,노크_목재,targetsrc_cbd0368e5c83,노크_목재,existing_target
노크_목재/81001__payattention__knock-on-door.mp3,노크_목재,targetsrc_599fc859c403,노크_목재,existing_target
노크_목재/256513__deleted_user_4772965__knock-on-the-door.wav,노크_목재,targetsrc_557a13aa7650,노크_목재,existing_target
노크_목재/267931__anagar__knock_the_door.wav,노크_목재,targetsrc_65e8d8253c8b,노크_목재,existing_target
노크_목재/410362__benjaminnelan__metal-knocking.wav,노크_목재,targetsrc_01f7c2916a07,노크_목재,existing_target
노크_목재/494569__775noise__wooden-door-knock.wav,노크_목재,targetsrc_d6495c799c14,노크_목재,existing_target
노크_목재/806182_방 문 노크소리.mp3,노크_목재,targetsrc_f98780f95aab,노크_목재,existing_target
노크_목재/841281__blou27__door-knock-1.wav,노크_목재,targetsrc_eb00877069a8,노크_목재,existing_target
노크_철재문/99BA524C5CF6DE2D0E.mp3,노크_철재문,targetsrc_d3a213d10db8,노크_철재문,existing_target
노크_철재문/991B4B4A5CF6F7CE1D.mp3,노크_철재문,targetsrc_64db8005dbbc,노크_철재문,existing_target
노크_철재문/경대로7길 (mp3cut.net) (1).mp3,노크_철재문,targetsrc_101ae74e95f5,노크_철재문,existing_target
노크_철재문/경대로7길 (mp3cut.net) (2).mp3,노크_철재문,targetsrc_101ae74e95f5,노크_철재문,existing_target
노크_철재문/경대로7길 (mp3cut.net).mp3,노크_철재문,targetsrc_101ae74e95f5,노크_철재문,existing_target
노크_철재문/대현동 (mp3cut.net) (1).mp3,노크_철재문,targetsrc_311e7e6d5526,노크_철재문,existing_target
노크_철재문/대현동 (mp3cut.net).mp3,노크_철재문,targetsrc_311e7e6d5526,노크_철재문,existing_target
노크_철재문/대현동 2 (mp3cut.net) (1).mp3,노크_철재문,targetsrc_8fff22690cba,노크_철재문,existing_target
노크_철재문/대현동 2 (mp3cut.net) (2).mp3,노크_철재문,targetsrc_8fff22690cba,노크_철재문,existing_target
노크_철재문/대현동 2 (mp3cut.net).mp3,노크_철재문,targetsrc_8fff22690cba,노크_철재문,existing_target
노크_철재문/대현동 3 (mp3cut.net) (1).mp3,노크_철재문,targetsrc_d57f53941132,노크_철재문,existing_target
노크_철재문/대현동 3 (mp3cut.net).mp3,노크_철재문,targetsrc_d57f53941132,노크_철재문,existing_target
노크_철재문/철재 (mp3cut.net) (1).mp3,노크_철재문,targetsrc_614cbcc39ab4,노크_철재문,existing_target
노크_철재문/철재 (mp3cut.net) (2).mp3,노크_철재문,targetsrc_614cbcc39ab4,노크_철재문,existing_target
노크_철재문/철재 (mp3cut.net).mp3,노크_철재문,targetsrc_614cbcc39ab4,노크_철재문,existing_target
도어락_개방음/대현동 4 (mp3cut.net).mp3,도어락_개방음,targetsrc_b4a243511884,도어락_개방음,existing_target
도어락_개방음/대현동 5 (mp3cut.net) (1).mp3,도어락_개방음,targetsrc_d12d7585a95c,도어락_개방음,existing_target
도어락_개방음/대현동 5 (mp3cut.net).mp3,도어락_개방음,targetsrc_d12d7585a95c,도어락_개방음,existing_target
도어락_개방음/도어락1.mp3,도어락_개방음,targetsrc_d2610377f796,도어락_개방음,existing_target
도어락_개방음/도어락2.wav,도어락_개방음,targetsrc_66e51142fc89,도어락_개방음,existing_target
도어락_개방음/도어락3.wav,도어락_개방음,targetsrc_33c8e6ae1d73,도어락_개방음,existing_target
도어락_개방음/도어락4.wav,도어락_개방음,targetsrc_9a9fb09c57d3,도어락_개방음,existing_target
도어락_개방음/도어락5.wav,도어락_개방음,targetsrc_c4afd98d56d8,도어락_개방음,existing_target
도어락_개방음/도어락6.wav,도어락_개방음,targetsrc_090bb3f3c1e0,도어락_개방음,existing_target
도어락_개방음/도어락9.wav,도어락_개방음,targetsrc_41d3a5c6731d,도어락_개방음,existing_target
도어락_개방음/도어락10.wav,도어락_개방음,targetsrc_924d3afc6bc9,도어락_개방음,existing_target
도어락_개방음/도어락16.mp3,도어락_개방음,targetsrc_17dd2edd1473,도어락_개방음,existing_target
도어락_개방음/도어락18.mp3,도어락_개방음,targetsrc_ee1ff5693a25,도어락_개방음,existing_target
도어락_개방음/도어락21.mp3,도어락_개방음,targetsrc_ed3ea99c0658,도어락_개방음,existing_target
도어락_개방음/도어락25.mp3,도어락_개방음,targetsrc_1156836e957a,도어락_개방음,existing_target
도어락_입력음/강아지 도어락 소리 훈련_[cut_2sec].mp3,도어락_입력음,targetsrc_ccf3408cb5fa,도어락_입력음,existing_target
도어락_입력음/도어락7_[cut_2sec] (2).mp3,도어락_입력음,targetsrc_771f81643ef1,도어락_입력음,existing_target
도어락_입력음/도어락11_[cut_2sec].mp3,도어락_입력음,targetsrc_dc57d20eef26,도어락_입력음,existing_target
도어락_입력음/도어락12_[cut_4sec].mp3,도어락_입력음,targetsrc_889b285cbf3b,도어락_입력음,existing_target
도어락_입력음/도어락13_[cut_2sec] (1).mp3,도어락_입력음,targetsrc_d98528ddc1f1,도어락_입력음,existing_target
도어락_입력음/도어락14_[cut_4sec].mp3,도어락_입력음,targetsrc_2bc815d62634,도어락_입력음,existing_target
도어락_입력음/도어락17_[cut_4sec].mp3,도어락_입력음,targetsrc_30ce57b24dec,도어락_입력음,existing_target
도어락_입력음/도어락19_[cut_4sec].mp3,도어락_입력음,targetsrc_f4fe1172bbdb,도어락_입력음,existing_target
도어락_입력음/도어락20_[cut_2sec].mp3,도어락_입력음,targetsrc_dea15beb6eec,도어락_입력음,existing_target
